post_id,platform,post_date,post_time,content_type,post_length,likes,comments,shares,saves,views,reach,impressions,profile_visits,followers,engagement_rate,audience_location,audience_age_group
P0042,TikTok,6/16/2023,12:50,Story,131,608,70,19,25,4152,15854,17460,37,43,3.99,Kathmandu,25-34
P0043,Twitter,7/23/2023,1:34,Image,54,1790,233,154,4,50746,15621,17187,108,106,12.67,Kathmandu,18-24
P0044,Instagram,9/23/2023,8:38,Text,137,8978,1072,225,563,35042,44361,48254,341,63,21.29,Real Madrid,45-54
P0045,YouTube,10/7/2023,13:51,Image,198,2041,257,15,45,5344,14368,15216,276,12,15.2,Barcelona,18-24
P0046,Instagram,12/27/2023,14:39,Video,213,819,75,20,18,11028,10602,10885,161,136,8.4,Kathmandu,45-54
P0047,YouTube,6/27/2023,19:16,Reel,254,2061,87,157,31,7231,19577,20633,139,150,11.17,Kathmandu,25-34
P0048,YouTube,12/23/2023,14:55,Text,215,4430,50,422,154,33075,25432,26578,189,91,18.44,Rasuwa,45-54
P0049,YouTube,3/15/2023,15:31,Image,153,4879,864,387,304,7625,39626,40140,306,103,15.27,Kathmandu,45-54
P0050,Instagram,7/14/2023,1:43,Story,59,4803,611,158,224,48626,30133,31342,295,35,17.78,Rasuwa,35-44
P0051,TikTok,11/2/2023,1:53,Image,99,2598,273,26,71,42876,25238,26021,64,7,11.13,Barcelona,25-34
P0052,Instagram,12/15/2023,18:59,Reel,63,1765,256,117,97,42395,25392,27998,44,106,7.64,Rasuwa,35-44
P0053,Twitter,3/18/2023,11:27,Reel,105,1300,218,35,15,5446,37575,41464,347,118,3.75,Pokhara,35-44
P0054,Instagram,5/13/2023,12:31,Image,178,556,47,10,23,33976,19080,20337,267,51,3.01,Pokhara,25-34
P0055,YouTube,9/7/2023,19:18,Text,61,1906,190,23,116,35333,42343,44529,96,129,4.76,Kathmandu,35-44
P0056,Instagram,7/19/2023,5:56,Image,59,3661,317,44,184,7004,17763,18403,261,62,21.86,Kathmandu,45-54
P0057,YouTube,5/14/2023,15:17,Image,88,2747,464,81,72,25758,37776,38194,63,36,8.62,Kathmandu,18-24
P0058,YouTube,8/10/2023,20:15,Image,249,365,25,13,23,7296,4844,5189,186,121,7.77,Rasuwa,45-54
P0059,Twitter,5/3/2023,15:18,Video,158,949,138,14,57,42811,9550,9935,125,17,11.08,Rasuwa,35-44
P0060,YouTube,11/30/2023,3:23,Image,227,2800,375,229,182,59035,27743,29497,123,119,11.54,Rasuwa,45-54
P0061,Instagram,2/25/2023,19:25,Story,136,2991,554,247,9,56218,14484,15106,68,67,25.1,Real Madrid,25-34
P0062,TikTok,3/2/2023,1:42,Reel,182,1101,170,71,47,23550,14463,14563,237,15,9.22,Real Madrid,35-44
P0063,Instagram,9/23/2023,7:30,Video,135,954,100,61,13,4999,8333,8417,22,149,13.25,Real Madrid,18-24
P0064,TikTok,10/17/2023,11:47,Reel,189,805,98,36,27,24535,11737,12753,303,77,7.36,Kathmandu,45-54
P0065,Instagram,8/16/2023,11:52,Story,259,3908,524,41,52,33074,33739,35143,233,120,12.73,Rasuwa,45-54
P0066,Instagram,5/13/2023,5:03,Reel,175,436,73,6,29,37286,32150,35219,278,125,1.46,Kathmandu,25-34
P0067,TikTok,9/7/2023,10:05,Text,223,4137,163,306,119,58998,40518,44427,161,42,10.37,Barcelona,18-24
P0068,Twitter,12/31/2023,19:28,Text,196,7518,179,53,303,40536,38852,42901,77,81,18.06,Kathmandu,35-44
P0069,Twitter,4/29/2023,13:39,Reel,254,4118,706,271,147,46251,36131,38746,39,148,13.15,Real Madrid,18-24
P0070,Instagram,12/15/2023,0:29,Reel,179,6140,134,15,198,2259,34720,35991,276,76,17.47,Barcelona,25-34
P0071,Instagram,1/31/2023,22:38,Video,62,130,13,12,0,52950,2154,2194,101,148,7.06,Real Madrid,25-34
P0072,TikTok,8/7/2023,16:21,Video,156,3884,727,32,43,2629,33103,36034,222,95,12.89,Barcelona,18-24
P0073,Instagram,7/16/2023,7:34,Text,231,7608,407,80,281,12164,45712,46171,175,118,17.53,Real Madrid,35-44
P0074,Instagram,7/26/2023,18:01,Reel,164,466,21,35,17,34321,12122,13258,101,16,3.94,Pokhara,35-44
P0075,YouTube,1/15/2023,1:27,Story,66,9583,345,851,360,54706,44016,48572,45,62,22.19,Rasuwa,18-24
P0076,Instagram,9/13/2023,7:11,Image,275,839,112,58,55,27657,5607,5620,178,69,17.95,Pokhara,18-24
P0077,YouTube,3/23/2023,7:53,Reel,223,2427,109,192,49,14554,25890,25993,184,94,10.5,Real Madrid,45-54
P0078,YouTube,3/15/2023,14:37,Image,93,9102,1809,63,526,48800,43870,47746,96,116,22.98,Real Madrid,35-44
P0079,Twitter,4/29/2023,16:13,Story,224,1669,225,147,56,15111,10734,11483,101,149,17.77,Real Madrid,35-44
P0080,Twitter,9/8/2023,4:45,Reel,192,8197,1454,758,489,27422,46959,49869,198,70,20.87,Rasuwa,35-44
P0081,TikTok,5/8/2023,23:00,Reel,75,640,48,51,32,48627,7033,7522,168,127,9.82,Real Madrid,18-24
P0082,TikTok,11/21/2023,17:07,Image,155,2914,416,219,153,59996,22126,24219,159,98,14.65,Barcelona,18-24
P0083,YouTube,12/8/2023,18:14,Reel,80,1065,193,73,9,16912,5622,5699,123,82,23.35,Rasuwa,18-24
P0084,YouTube,8/27/2023,6:53,Story,129,2658,62,220,116,36954,37773,40440,184,22,7.27,Kathmandu,18-24
P0085,Twitter,8/3/2023,10:09,Video,274,953,112,45,41,18762,33872,36037,347,82,3.08,Kathmandu,45-54
P0086,Twitter,7/13/2023,10:29,Reel,143,131,12,13,6,19000,1481,1581,150,10,9.87,Kathmandu,18-24
P0087,Twitter,2/1/2023,22:50,Reel,239,4107,753,57,37,37328,29291,30627,176,34,16.05,Real Madrid,35-44
P0088,Instagram,11/2/2023,7:37,Image,262,5264,919,430,344,32993,34827,35499,94,5,18.63,Kathmandu,35-44
P0089,TikTok,4/23/2023,14:39,Video,98,62,10,5,3,20576,32281,33556,97,50,0.23,Real Madrid,35-44
P0090,Twitter,12/8/2023,15:16,Image,191,1339,223,53,10,25507,28515,31253,153,124,5.17,Barcelona,25-34
P0091,YouTube,8/9/2023,4:35,Text,77,7731,1220,151,484,19275,37159,38922,345,135,23.39,Barcelona,45-54
P0092,TikTok,1/21/2023,10:41,Video,184,5096,200,54,127,34155,28719,29118,74,64,18.37,Barcelona,35-44
P0093,TikTok,5/28/2023,0:46,Reel,265,1101,197,88,12,42120,5996,6584,191,24,21.05,Barcelona,35-44
P0094,Instagram,10/6/2023,3:47,Video,280,8629,1488,126,137,41417,41302,44083,22,88,23.24,Kathmandu,18-24
P0095,Twitter,10/31/2023,1:53,Reel,238,2891,286,257,107,13025,16173,17682,90,142,19.42,Barcelona,18-24
P0096,Twitter,1/11/2023,13:36,Image,100,1549,112,83,59,58178,39412,43135,206,18,4.04,Pokhara,25-34
P0097,Twitter,1/23/2023,8:13,Story,57,990,64,85,26,33049,25885,27946,65,115,4.08,Kathmandu,35-44
P0098,Twitter,4/27/2023,18:10,Video,89,8094,1560,406,118,50870,40298,44510,196,113,22.6,Barcelona,25-34
P0099,Instagram,3/23/2023,20:24,Video,155,2008,93,59,89,9535,49862,49892,157,110,4.33,Pokhara,45-54
P0100,Twitter,11/11/2023,18:59,Story,239,954,78,95,38,59333,10811,11840,161,60,9.52,Pokhara,35-44
P0101,Instagram,10/23/2023,22:55,Reel,214,418,18,7,2,35397,4815,5036,203,124,8.8,Pokhara,25-34
P0102,TikTok,5/25/2023,13:00,Reel,276,816,129,26,45,45717,17936,18675,216,66,5.2,Kathmandu,25-34
P0103,TikTok,8/22/2023,12:02,Image,58,382,11,8,11,36153,40315,42074,66,29,0.95,Barcelona,45-54
P0104,Instagram,5/22/2023,22:25,Text,156,179,25,13,4,13243,10421,10542,316,78,2.06,Real Madrid,18-24
P0105,YouTube,8/28/2023,5:03,Reel,117,3537,466,264,222,49616,23380,24932,201,20,17.11,Real Madrid,45-54
P0106,YouTube,5/27/2023,9:07,Image,91,1312,54,45,3,55563,26399,27097,200,131,5.21,Real Madrid,18-24
P0107,TikTok,12/5/2023,14:48,Image,104,3191,350,16,76,26508,20190,22428,218,61,15.86,Real Madrid,25-34
P0108,Twitter,10/7/2023,5:25,Reel,279,1437,148,7,69,38059,37860,39133,325,101,4.07,Rasuwa,18-24
P0109,Twitter,4/8/2023,2:37,Image,155,411,32,34,27,22606,4511,4824,106,120,9.89,Pokhara,25-34
P0110,Instagram,9/14/2023,8:50,Reel,140,1455,279,78,73,26919,20687,20801,257,125,8.71,Pokhara,18-24
P0111,TikTok,3/11/2023,5:37,Story,255,456,85,8,8,29502,5845,6424,234,94,8.55,Real Madrid,25-34
P0112,Twitter,12/23/2023,19:57,Video,235,675,126,34,7,54927,3794,3801,46,39,21.97,Kathmandu,35-44
P0113,Twitter,8/7/2023,18:50,Video,95,150,12,15,7,28173,2299,2417,272,56,7.32,Real Madrid,18-24
P0114,TikTok,8/26/2023,0:06,Image,99,1214,46,34,71,38515,22485,23621,139,8,5.48,Rasuwa,18-24
P0115,YouTube,11/23/2023,9:24,Text,115,344,54,26,3,46128,3795,4019,232,119,10.55,Kathmandu,35-44
P0116,TikTok,4/5/2023,15:48,Story,147,175,33,12,6,49387,1450,1464,325,25,15.03,Rasuwa,25-34
P0117,TikTok,7/21/2023,1:18,Image,255,4181,628,358,110,46945,20383,21096,189,97,24.49,Kathmandu,45-54
P0118,YouTube,8/22/2023,12:37,Text,277,1217,141,16,37,17166,16370,16772,280,109,8.19,Pokhara,35-44
P0119,Twitter,4/6/2023,8:53,Reel,211,943,95,11,48,19160,25759,26938,84,10,3.89,Kathmandu,45-54
P0120,Twitter,9/17/2023,2:51,Text,238,4797,565,305,70,23053,41007,43365,331,24,13.07,Kathmandu,45-54
P0121,TikTok,5/24/2023,1:26,Reel,85,2323,125,131,95,4594,12500,13080,89,52,19.72,Kathmandu,45-54
P0122,TikTok,6/20/2023,15:46,Image,120,565,10,20,23,41788,29987,30470,114,39,1.95,Real Madrid,35-44
P0123,Instagram,1/6/2023,6:19,Story,166,1741,115,131,60,56157,27902,30278,283,106,6.56,Pokhara,25-34
P0124,Twitter,2/6/2023,6:06,Video,96,1387,162,20,10,28790,37957,41803,256,92,3.75,Pokhara,18-24
P0125,Twitter,2/7/2023,17:46,Reel,171,2560,427,188,67,42327,40289,41607,170,73,7.63,Rasuwa,45-54
P0126,YouTube,9/3/2023,7:44,Image,233,833,54,27,31,59465,30579,30959,63,85,2.95,Real Madrid,45-54
P0127,YouTube,9/8/2023,19:22,Text,131,3510,589,122,53,25631,26307,26650,305,147,15.84,Kathmandu,18-24
P0128,Twitter,5/16/2023,18:05,Image,57,2814,14,34,140,28952,36997,39419,316,88,7.26,Barcelona,35-44
P0129,YouTube,4/25/2023,7:45,Text,229,724,45,30,21,20698,25718,27901,311,116,2.86,Pokhara,35-44
P0130,TikTok,5/7/2023,18:44,Reel,83,2207,61,7,30,30230,40548,42270,19,53,5.38,Real Madrid,45-54
P0131,TikTok,8/18/2023,19:16,Reel,143,2969,455,20,187,41987,18373,20239,194,30,17.02,Barcelona,45-54
P0132,TikTok,1/20/2023,16:52,Reel,185,838,148,30,21,25185,34746,34804,159,137,2.92,Rasuwa,18-24
P0133,TikTok,3/21/2023,16:54,Video,80,2423,344,191,11,26506,18398,18917,110,78,15.64,Kathmandu,45-54
P0134,TikTok,2/2/2023,19:48,Reel,93,5508,525,101,287,9406,48537,48912,98,89,12.54,Pokhara,45-54
P0135,YouTube,4/18/2023,18:51,Image,83,3102,467,135,53,34710,25646,28337,231,149,13.07,Barcelona,18-24
P0136,Instagram,6/12/2023,4:21,Image,134,7652,1087,702,27,55108,42850,47243,213,59,19.98,Rasuwa,35-44
P0137,TikTok,2/23/2023,10:49,Text,91,1888,280,149,26,3586,11966,12363,333,94,18.74,Real Madrid,18-24
P0138,Instagram,5/3/2023,18:27,Image,173,3103,575,182,117,39259,36547,37853,41,104,10.2,Real Madrid,25-34
P0139,Instagram,1/29/2023,18:05,Video,232,780,51,41,28,50123,14901,16127,295,124,5.41,Real Madrid,18-24
P0140,Instagram,4/24/2023,21:13,Text,222,5802,147,58,52,20366,33231,33566,18,103,17.9,Rasuwa,35-44
P0141,Instagram,2/26/2023,12:36,Image,162,381,47,13,17,27691,32185,33296,68,122,1.32,Real Madrid,25-34
P0142,TikTok,2/5/2023,18:28,Reel,93,2248,440,21,51,13948,20335,21165,231,51,12.8,Kathmandu,25-34
P0143,Instagram,4/19/2023,12:26,Reel,233,4332,566,343,32,25071,30812,33934,138,139,15.44,Barcelona,35-44
P0144,Instagram,12/5/2023,5:06,Text,193,686,57,7,41,40222,6183,6868,118,133,10.92,Kathmandu,45-54
P0145,Instagram,2/5/2023,1:46,Story,180,344,43,20,10,44431,5313,5447,47,118,7.47,Real Madrid,35-44
P0146,Instagram,5/8/2023,11:27,Video,237,259,46,7,2,24288,4354,4545,42,15,6.86,Rasuwa,45-54
P0147,TikTok,7/2/2023,21:27,Video,252,5902,542,171,141,36550,45635,48706,50,126,13.58,Barcelona,25-34
P0148,TikTok,3/23/2023,1:24,Story,128,524,49,27,20,11981,3753,3956,31,24,15.17,Real Madrid,18-24
P0149,TikTok,9/6/2023,3:26,Reel,80,2186,381,25,52,8594,39459,40257,121,69,6.44,Barcelona,18-24
P0150,YouTube,4/29/2023,16:36,Text,109,344,51,9,2,9115,4506,4984,211,147,8.11,Barcelona,45-54
P0151,TikTok,4/6/2023,8:50,Text,198,2515,381,208,98,48349,32832,34521,244,40,8.99,Rasuwa,35-44
P0152,Twitter,5/14/2023,14:11,Image,247,1599,227,23,48,14985,14849,15944,231,113,11.6,Rasuwa,25-34
P0153,Instagram,5/3/2023,21:46,Reel,126,627,113,34,16,15530,15818,16376,156,92,4.73,Rasuwa,25-34
P0154,TikTok,11/29/2023,8:30,Reel,142,5380,601,310,306,21993,30754,33872,213,116,18.57,Barcelona,45-54
P0155,Instagram,9/9/2023,1:35,Image,251,1866,352,170,83,36218,15216,15514,245,31,15.39,Rasuwa,18-24
P0156,YouTube,11/13/2023,8:38,Reel,189,460,48,39,30,11778,32410,33427,307,38,1.64,Kathmandu,25-34
P0157,TikTok,1/30/2023,18:48,Story,81,3635,651,128,79,58549,20850,20878,319,49,21.14,Barcelona,45-54
P0158,TikTok,10/4/2023,16:10,Video,113,405,50,32,19,52153,4348,4743,89,57,10.27,Barcelona,25-34
P0159,TikTok,6/28/2023,10:33,Video,106,229,25,6,0,18865,1416,1426,86,80,18.23,Rasuwa,25-34
P0160,YouTube,3/2/2023,5:06,Reel,127,4912,245,135,210,49896,30197,32509,329,95,16.28,Pokhara,25-34
P0161,Instagram,7/19/2023,5:32,Reel,207,1085,165,93,35,39178,7996,8676,133,116,15.48,Kathmandu,35-44
P0162,TikTok,1/30/2023,11:01,Text,243,823,53,68,11,3749,33544,35821,159,108,2.64,Real Madrid,45-54
P0163,YouTube,2/27/2023,3:24,Story,178,722,27,44,23,3632,26104,27702,217,53,2.86,Pokhara,35-44
P0164,Instagram,3/20/2023,17:57,Video,111,6500,1201,39,108,48210,34891,36319,320,45,21.31,Real Madrid,35-44
P0165,Twitter,2/19/2023,0:40,Text,156,2048,197,30,61,16743,11890,12601,244,138,18.05,Barcelona,45-54
P0166,Twitter,9/22/2023,2:29,Story,228,2816,224,92,69,56246,39100,42858,329,140,7.31,Kathmandu,45-54
P0167,Instagram,6/6/2023,18:26,Reel,181,2301,80,87,1,23903,26001,27935,221,134,8.83,Real Madrid,35-44
P0168,Instagram,1/10/2023,19:22,Story,152,6429,49,177,258,18369,40804,43030,90,81,15.47,Barcelona,45-54
P0169,Instagram,3/13/2023,17:48,Story,136,5453,558,175,77,25664,27119,29629,227,49,20.88,Barcelona,35-44
P0170,TikTok,7/20/2023,22:10,Image,254,7337,790,334,471,38456,39017,40381,116,19,20.95,Rasuwa,35-44
P0171,Instagram,1/14/2023,10:16,Text,248,1944,132,187,62,19875,11780,12535,44,107,18.05,Rasuwa,25-34
P0172,Instagram,4/7/2023,7:15,Text,276,2456,284,115,114,59754,15184,15934,246,75,17.92,Pokhara,25-34
P0173,YouTube,9/9/2023,11:12,Reel,232,369,14,20,10,5597,13392,13580,74,122,2.97,Barcelona,45-54
P0174,Instagram,4/4/2023,14:15,Image,244,4074,125,73,159,31898,21932,23481,264,111,18.19,Kathmandu,45-54
P0175,TikTok,11/24/2023,21:15,Story,53,5016,456,69,106,37290,23593,25243,240,51,21.95,Barcelona,35-44
P0176,TikTok,2/8/2023,14:28,Story,240,3090,380,276,85,1910,24176,24941,161,22,15.02,Real Madrid,18-24
P0177,Twitter,9/19/2023,20:45,Image,188,1614,252,153,100,17899,16979,17245,123,138,11.71,Kathmandu,45-54
P0178,Instagram,3/3/2023,3:10,Text,213,298,29,21,15,59862,46308,46726,249,85,0.74,Kathmandu,45-54
P0179,Twitter,8/3/2023,18:34,Text,214,2165,22,77,33,5965,36382,36496,94,137,6.2,Rasuwa,45-54
P0180,TikTok,4/28/2023,1:51,Reel,258,433,80,19,4,3061,2919,2993,82,60,17.77,Real Madrid,18-24
P0181,Twitter,4/5/2023,7:07,Image,154,1078,176,11,41,23878,30070,32312,291,123,3.91,Real Madrid,18-24
P0182,Twitter,11/7/2023,23:48,Text,111,1294,102,103,49,15438,9379,9859,230,96,15.2,Real Madrid,25-34
P0183,YouTube,10/29/2023,3:41,Story,71,310,10,30,10,27347,4095,4394,278,34,7.97,Rasuwa,45-54
P0184,YouTube,12/29/2023,9:42,Video,260,2332,307,113,2,16456,32456,33314,288,75,8.26,Barcelona,35-44
P0185,Twitter,9/15/2023,16:31,Text,134,314,53,22,15,54743,31656,33860,240,98,1.15,Barcelona,45-54
P0186,Instagram,12/18/2023,0:57,Reel,146,1725,148,38,66,26387,20721,21649,158,30,8.83,Rasuwa,18-24
P0187,Twitter,7/5/2023,1:56,Story,238,2941,225,291,49,36151,35728,36964,295,12,9.35,Barcelona,25-34
P0188,Twitter,9/9/2023,21:07,Video,101,5563,261,179,262,9916,36164,39600,278,134,15.16,Pokhara,25-34
P0189,YouTube,6/8/2023,3:27,Story,97,353,29,29,20,40220,3140,3264,20,23,12.59,Real Madrid,25-34
P0190,YouTube,10/23/2023,4:01,Story,95,1983,191,54,52,25262,25073,26553,52,81,8.39,Barcelona,18-24
P0191,TikTok,9/1/2023,1:54,Video,111,667,35,62,41,29822,3502,3786,56,21,20.18,Rasuwa,45-54
P0192,YouTube,7/29/2023,17:03,Text,90,6053,191,587,170,34288,28608,31540,267,146,21.66,Kathmandu,25-34
P0193,Instagram,2/20/2023,10:33,Video,132,274,11,16,3,22363,15427,15722,173,83,1.91,Barcelona,18-24
P0194,YouTube,4/23/2023,5:25,Text,150,3378,242,59,179,22145,36149,36230,189,20,10.15,Barcelona,45-54
P0195,YouTube,9/29/2023,1:55,Story,211,6300,473,191,264,54010,34382,37288,77,48,18.68,Barcelona,35-44
P0196,Instagram,4/7/2023,19:51,Story,270,916,140,58,33,23122,17417,17875,206,129,6.23,Barcelona,18-24
P0197,YouTube,9/13/2023,15:09,Reel,156,4064,511,91,38,14250,34313,35546,253,107,13.13,Pokhara,35-44
P0198,TikTok,11/24/2023,10:16,Story,181,3053,109,148,43,39302,15679,15779,174,112,20.98,Rasuwa,18-24
P0199,Instagram,10/9/2023,11:56,Video,162,787,29,6,12,34763,16487,17622,148,104,4.66,Rasuwa,25-34
P0200,Twitter,9/20/2023,22:51,Reel,227,6764,305,168,268,29997,33583,34540,41,86,20.95,Real Madrid,45-54
P0201,Instagram,5/2/2023,1:02,Reel,188,6104,1161,241,109,16381,35968,36912,78,123,20.33,Rasuwa,45-54
P0202,TikTok,12/1/2023,14:52,Reel,147,1007,121,11,49,36366,20814,21810,100,126,5.22,Pokhara,35-44
P0203,TikTok,11/16/2023,20:21,Reel,188,196,23,19,13,50400,2919,3065,118,128,7.77,Barcelona,18-24
P0204,Instagram,5/7/2023,2:42,Text,197,1154,40,68,18,50787,29613,30394,186,76,4.15,Kathmandu,25-34
P0205,Twitter,1/20/2023,12:30,Reel,59,91,13,7,5,9287,11112,11888,219,119,0.93,Pokhara,25-34
P0206,YouTube,6/10/2023,16:18,Story,263,6334,1238,94,397,19111,35530,39385,188,149,19.46,Pokhara,18-24
P0207,Instagram,8/26/2023,19:51,Text,182,1032,180,56,33,43303,9228,9935,297,97,12.76,Rasuwa,45-54
P0208,Twitter,11/20/2023,3:11,Image,259,3717,82,170,227,14207,28860,29177,186,128,13.6,Rasuwa,45-54
P0209,Twitter,11/29/2023,15:00,Image,235,1191,224,14,23,34735,23048,25119,19,19,5.69,Barcelona,35-44
P0210,TikTok,9/16/2023,8:06,Image,162,3028,569,189,72,19182,27239,29382,310,8,12.89,Barcelona,18-24
P0211,Twitter,5/21/2023,19:10,Video,191,585,35,20,27,28681,7339,7412,247,29,8.63,Pokhara,45-54
P0212,TikTok,10/1/2023,7:10,Image,255,2610,242,107,11,1033,21361,21428,20,106,13.81,Kathmandu,18-24
P0213,Twitter,2/24/2023,12:01,Video,263,7921,1072,745,24,45392,42497,45186,153,146,21.55,Real Madrid,45-54
P0214,Instagram,10/8/2023,13:36,Video,133,1822,345,59,113,2852,26332,28607,221,13,7.78,Kathmandu,45-54
P0215,YouTube,10/25/2023,13:53,Story,133,561,51,48,11,17083,29835,32374,26,113,2.04,Real Madrid,35-44
P0216,Twitter,1/6/2023,14:43,Story,206,415,78,36,24,51976,8699,9082,112,55,5.82,Barcelona,35-44
P0217,YouTube,10/12/2023,12:27,Video,121,7676,1331,604,227,58162,36355,38541,321,73,24.94,Pokhara,18-24
P0218,TikTok,4/29/2023,2:18,Story,75,4535,689,407,217,59103,26448,26931,129,92,20.91,Pokhara,45-54
P0219,TikTok,7/14/2023,5:09,Reel,135,1278,213,43,79,8030,13764,15217,126,58,10.08,Pokhara,18-24
P0220,TikTok,11/15/2023,19:26,Story,166,3591,279,190,139,4684,18036,18261,118,88,22.23,Rasuwa,35-44
P0221,Twitter,3/1/2023,15:05,Image,280,4396,747,33,225,41416,39283,40281,132,113,12.85,Kathmandu,45-54
P0222,YouTube,1/1/2023,17:24,Reel,86,1654,28,100,48,59080,32510,33624,135,51,5.3,Rasuwa,35-44
P0223,Twitter,11/14/2023,1:23,Story,195,6718,565,158,143,27132,42714,43605,277,29,17.06,Barcelona,25-34
P0224,YouTube,12/9/2023,17:11,Video,126,2335,234,93,68,56671,30812,33737,319,57,7.89,Kathmandu,45-54
P0225,Instagram,9/6/2023,1:46,Image,188,796,75,76,48,35231,40622,41642,329,51,2.27,Pokhara,45-54
